"HBCJHM","HBZQDM","HBHTXH","HBGDDM","HBCJSL","HBCJJG","HBDFXW","HBDFGD","HBCJSJ","HBCJRQ","HBYWLB","HBCDYY","HBMARK","HBBYBZ"
"03437741","000911","0694002008102200000304","0899043679",600,12.81,"","","11084089","2009/3/17","0B","","",""
"03441372","000911","0694002008102200000310","0899043679",600,12.81,"","","11085058","2009/3/17","0B","","",""
"06940020","000911","0694002008102200000310","0899043679",1200,12.81,"","","11085058","2009/3/17","0B","","",""
"03441374","000911","0694002008102200000310","0899043679",500,12.81,"","","11085058","2009/3/17","0B","","",""
"03441375","000911","0694002008102200000310","0899043679",1300,12.81,"","","11085058","2009/3/17","0B","","",""
"06940020","000911","0694002008102200000310","0899043679",1400,12.81,"","","11085058","2009/3/17","0B","","",""
"03483998","000911","0694002008102200000304","0899043679",2450,12.81,"","","11103049","2009/3/17","0B","","",""
"03493244","000911","0694002008102200000314","0899043679",1746,12.81,"","","11104962","2009/3/17","0B","","",""
"03496328","000911","0694002008102200000314","0899043679",1254,12.81,"","","11105584","2009/3/17","0B","","",""
"03515569","000869","0694002008102200000294","0899043679",100,43.55,"","","11113090","2009/3/17","0B","","",""
"03548351","000911","0694002008102200000317","0899043679",400,12.81,"","","11123080","2009/3/17","0B","","",""
"03548352","000911","0694002008102200000317","0899043679",1000,12.81,"","","11123080","2009/3/17","0B","","",""
"03558169","000911","0694002008102200000319","0899043679",1800,12.81,"","","11125054","2009/3/17","0B","","",""
"03558170","000911","0694002008102200000319","0899043679",2000,12.81,"","","11125054","2009/3/17","0B","","",""
"03558171","000911","0694002008102200000319","0899043679",100,12.81,"","","11125054","2009/3/17","0B","","",""
"03558172","000911","0694002008102200000319","0899043679",400,12.81,"","","11125054","2009/3/17","0B","","",""
"03558173","000911","0694002008102200000319","0899043679",500,12.81,"","","11125054","2009/3/17","0B","","",""
"03558174","000911","0694002008102200000319","0899043679",200,12.81,"","","11125054","2009/3/17","0B","","",""
"03561116","000911","0694002008102200000319","0899043679",100,12.81,"","","11125572","2009/3/17","0B","","",""
"03564956","000911","0694002008102200000319","0899043679",300,12.81,"","","11130288","2009/3/17","0B","","",""
"03571260","000911","0694002008102200000317","0899043679",-600,12.81,"000000","","11131487","2009/3/17","0C","","",""
"03573121","000911","0694002008102200000319","0899043679",90,12.81,"","","11131875","2009/3/17","0B","","",""
"03576794","000911","0694002008102200000319","0899043679",1600,12.81,"","","11132541","2009/3/17","0B","","",""
"03586272","000911","0694002008102200000319","0899043679",-2910,12.81,"000000","","11134472","2009/3/17","0C","","",""
"03594322","000911","0694002008102200000322","0899043679",-600,12.81,"000000","","11140177","2009/3/17","0C","","",""
"03606379","000911","0694002008102200000327","0899043679",100,12.81,"","","11142880","2009/3/17","0B","","",""
"03607044","000911","0694002008102200000327","0899043679",1500,12.81,"","","11143019","2009/3/17","0B","","",""
"03612140","000911","0694002008102200000327","0899043679",200,12.81,"","","11144190","2009/3/17","0B","","",""
"03615597","000911","0694002008102200000327","0899043679",300,12.81,"","","11144974","2009/3/17","0B","","",""
"03623327","000911","0694002008102200000327","0899043679",100,12.81,"","","11150765","2009/3/17","0B","","",""
"03628324","000911","0694002008102200000327","0899043679",1002,12.81,"","","11151975","2009/3/17","0B","","",""
"03631405","000911","0694002008102200000327","0899043679",200,12.81,"","","11152756","2009/3/17","0B","","",""
"03631406","000911","0694002008102200000327","0899043679",98,12.81,"","","11152756","2009/3/17","0B","","",""
